,subtaskname,minx,maxy,maxx,miny
156,L8-OLI-123-032-20180408-LSR10_6,445545.0,4436415.0,460905.0,4421055.0
157,L8-OLI-123-032-20180408-LSR10_7,460155.0,4436415.0,475515.0,4421055.0
158,L8-OLI-123-032-20180408-LSR10_8,474765.0,4436415.0,490125.0,4421055.0
159,L8-OLI-123-032-20180408-LSR10_9,489375.0,4436415.0,504735.0,4421055.0
160,L8-OLI-123-032-20180408-LSR10_10,503985.0,4436415.0,519345.0,4421055.0
161,L8-OLI-123-032-20180408-LSR10_11,518595.0,4436415.0,533955.0,4421055.0
162,L8-OLI-123-032-20180408-LSR10_12,533205.0,4436415.0,548565.0,4421055.0
163,L8-OLI-123-032-20180408-LSR10_13,547815.0,4436415.0,563175.0,4421055.0
164,L8-OLI-123-032-20180408-LSR10_14,562425.0,4436415.0,577785.0,4421055.0
165,L8-OLI-123-032-20180408-LSR11_0,357885.0,4421805.0,373245.0,4406445.0
166,L8-OLI-123-032-20180408-LSR11_1,372495.0,4421805.0,387855.0,4406445.0
167,L8-OLI-123-032-20180408-LSR11_2,387105.0,4421805.0,402465.0,4406445.0
168,L8-OLI-123-032-20180408-LSR11_3,401715.0,4421805.0,417075.0,4406445.0
169,L8-OLI-123-032-20180408-LSR11_4,416325.0,4421805.0,431685.0,4406445.0
170,L8-OLI-123-032-20180408-LSR11_5,430935.0,4421805.0,446295.0,4406445.0
171,L8-OLI-123-032-20180408-LSR11_6,445545.0,4421805.0,460905.0,4406445.0
172,L8-OLI-123-032-20180408-LSR11_7,460155.0,4421805.0,475515.0,4406445.0
173,L8-OLI-123-032-20180408-LSR11_8,474765.0,4421805.0,490125.0,4406445.0
174,L8-OLI-123-032-20180408-LSR11_9,489375.0,4421805.0,504735.0,4406445.0
175,L8-OLI-123-032-20180408-LSR11_10,503985.0,4421805.0,519345.0,4406445.0
176,L8-OLI-123-032-20180408-LSR11_11,518595.0,4421805.0,533955.0,4406445.0
177,L8-OLI-123-032-20180408-LSR11_12,533205.0,4421805.0,548565.0,4406445.0
178,L8-OLI-123-032-20180408-LSR11_13,547815.0,4421805.0,563175.0,4406445.0
179,L8-OLI-123-032-20180408-LSR11_14,562425.0,4421805.0,577785.0,4406445.0
180,L8-OLI-123-032-20180408-LSR12_0,357885.0,4407195.0,373245.0,4391835.0
181,L8-OLI-123-032-20180408-LSR12_1,372495.0,4407195.0,387855.0,4391835.0
182,L8-OLI-123-032-20180408-LSR12_2,387105.0,4407195.0,402465.0,4391835.0
183,L8-OLI-123-032-20180408-LSR12_3,401715.0,4407195.0,417075.0,4391835.0
184,L8-OLI-123-032-20180408-LSR12_4,416325.0,4407195.0,431685.0,4391835.0
185,L8-OLI-123-032-20180408-LSR12_5,430935.0,4407195.0,446295.0,4391835.0
186,L8-OLI-123-032-20180408-LSR12_6,445545.0,4407195.0,460905.0,4391835.0
187,L8-OLI-123-032-20180408-LSR12_7,460155.0,4407195.0,475515.0,4391835.0
188,L8-OLI-123-032-20180408-LSR12_8,474765.0,4407195.0,490125.0,4391835.0
189,L8-OLI-123-032-20180408-LSR12_9,489375.0,4407195.0,504735.0,4391835.0
190,L8-OLI-123-032-20180408-LSR12_10,503985.0,4407195.0,519345.0,4391835.0
191,L8-OLI-123-032-20180408-LSR12_11,518595.0,4407195.0,533955.0,4391835.0
192,L8-OLI-123-032-20180408-LSR12_12,533205.0,4407195.0,548565.0,4391835.0
